source_year,level_1,target_paper_id
2017,top_1pct_share,0.08167330677290836
2017,top_5pct_share,0.18127490039840638
2017,top_10pct_share,0.26095617529880477
2018,top_1pct_share,0.1431546069755336
2018,top_5pct_share,0.30765226444560123
2018,top_10pct_share,0.39666840187402397
2019,top_1pct_share,0.19180602006688963
2019,top_5pct_share,0.36722408026755854
2019,top_10pct_share,0.4672240802675585
2020,top_1pct_share,0.20724713242961418
2020,top_5pct_share,0.3869916579770594
2020,top_10pct_share,0.4795359749739312
2021,top_1pct_share,0.21776809489227789
2021,top_5pct_share,0.3896393125151295
2021,top_10pct_share,0.47935124667150814
2022,top_1pct_share,0.22036105148326707
2022,top_5pct_share,0.3852623429637189
2022,top_10pct_share,0.478023718196854
2023,top_1pct_share,0.21693284479624086
2023,top_5pct_share,0.37868150924397953
2023,top_10pct_share,0.46955500237742287
2024,top_1pct_share,0.2010642613405875
2024,top_5pct_share,0.3562889254778438
2024,top_10pct_share,0.4472283866657122
2025,top_1pct_share,0.18150406504065042
2025,top_5pct_share,0.3230182926829268
2025,top_10pct_share,0.40965447154471546
2026,top_1pct_share,0.11257542076849794
2026,top_5pct_share,0.23420133375674818
2026,top_10pct_share,0.3118450301683074
