source_paper_id,source_s2_paperId,target_s2_paperId
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,b7c081edd67f011fc45879c01a5166f889d77491
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,d92c797f587ce7f1b001920ab9e6b7d31960bd77
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,85d0a419dc8b964d566bc82d9b7587df856eb1d0
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,35aba190f28b5c39df333c06ca21f46bd4845eba
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,3f5b31c4f7350dc88002c121aecbdc82f86eb5bb
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,0d0dbfb1b315a43216020abaf74d289456198219
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,a32887af7eb1fcfd3b3d892ad41f3516a37f11c1
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,a26a7a74f1e5fd562be95c3611a0680759fbdf84
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,adb272fbdea3631059cf88ab764bb6c2ce29f965
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,b879450f50a6113f44a5baf0bcd5b4331eeb7bbc
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,197d5867a45a2988f4dd159063cdfbfe90164962
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,f675c62abfa788ea0be85d3124eba15a14d5e9d6
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,c04067f03fba2df0c14ea51a170f213eb2983708
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,96ea07447d2f9adefe03852a878517a2a6d45b96
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,b82c5f9efdb2ae56baa084ca41aeddd8a665c1d1
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,47d524f5cdf8a1bbac2ecb19706b2e2cdde39291
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,141a5033d9994242b18bb3b217e79582f1ee9306
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,7cc21bcce77dacd1ea7646244043261167f2dcd0
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,9c88c2357abcd58cc330179c1965fe0a8c067ebc
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,380f51f38e95c7a5ea8f0dfb5fe1678a816a606d
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,179765729fc1e269393617795507607c29a66a8e
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,de2be42659be5c43c1a992b5d7fe6daf14e571dd
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,75347fcd6adb2b1c5de7706713c1cc41f7b58f36
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,02f8e2fafd37ec8d64dcd284ab2949eae5797130
2,6c23fd6331fd3900ecd027149016cdebdf5d16e5,0ed0ee515d8f9d2bffbc8948962d12531c75e6a5
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,5d2f92c82addd10861fa94da1aad5060a0de4b17
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,b4d924d27eddfb3b472ff117beaeaf8710cf9361
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,89481e9bc2eb0396003c26b8f5640718f99894fb
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,a898072368e80d1b9dceb34d6c48a654a3ff9dbc
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,8292083dd8f6ae898ea0ee54a6b97997d1a51c9d
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,90c35b83d91ba40e8f4b87e264519bc4713395b3
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,2a1cd0bd878ab77742c2f120223f1a44accdd204
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,1823b8aecd62ccfca0cb6caa8e2a1159754afc5e
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,f58a49ea99e9a2754dd050927b9d830e3743f844
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,2b3554a8fea6f123fc04bd3e120f2293f227e1b2
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,bc5c73c101da795cfa44e4ac7751cdedca9b6d93
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,25738c43c0c4788d803981eaf5d397691aba0958
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,ae5c7c1acfd6423501259dd56e6390bd01f07669
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,83b90f4a0ae4cc214eb3cc140ccfef9cd99fac05
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,20d7965c0b282a0cd7f990e435d0f6bc9535bbc6
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,23d01461a54505705649c1f5378f81dcd524d46c
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,663a41c866d49ce052801fbc88947d39764cad29
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,47df3fd32d00220c85c2c51a571254fd99b2ecc7
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,54ca116f1e9a45768a3a2c47a4608ff34adefa0c
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,814a4f680b9ba6baba23b93499f4b48af1a27678
3,52e0a9cc69b002b4ca9fb61c7ba9162baf74f8f2,90abbc2cf38462b954ae1b772fac9532e2ccd8b0
