source_paper_id,target_paper_id
18,4544
18,4545
18,4546
18,2744
18,4547
18,2953
18,2988
18,2998
18,4548
18,4549
18,4550
18,4551
18,4552
18,4553
18,4554
18,3235
18,3237
18,4555
18,4556
18,4557
18,4558
18,4559
18,4560
18,4561
18,4562
18,4563
18,4564
18,4565
18,4566
18,4567
18,4568
18,4569
18,4570
18,4571
18,4572
18,4573
18,4574
18,4575
18,4576
18,4577
18,4578
18,4579
18,4580
18,4581
18,4582
18,4583
18,4584
18,4393
18,4585
18,4586
18,4439
18,4446
18,4587
18,4588
18,4589
18,4590
18,4591
18,4592
18,4593
18,4594
18,4595
18,4596
18,4597
18,4598
18,4599
18,4543
18,4600
18,4601
18,4602
18,4603
18,4604
81,4605
81,4606
81,4607
81,4608
81,4609
81,4610
81,4611
81,4612
81,4613
81,4614
81,4615
81,4616
81,4617
81,4618
81,4619
81,4620
81,4621
81,4622
81,4623
81,4624
81,4625
81,4626
81,4627
81,3498
81,4628
81,4629
81,3698
81,4630
81,4631
81,4632
81,4633
81,4013
81,4634
81,4635
81,4636
81,4637
81,4638
81,4639
81,4640
81,4641
81,4642
81,4643
81,4599
81,4644
81,4645
88,4646
88,4647
88,4648
88,4649
88,4650
88,1360
88,4651
88,4652
88,4653
88,4654
88,4655
88,4656
88,4657
88,4658
88,4659
88,4660
88,2002
88,4661
88,4662
88,4663
88,4664
88,4665
88,4666
88,4667
88,2791
88,4668
88,4669
88,2993
88,4670
88,4671
88,3276
88,3303
88,3424
88,3434
88,4564
88,4672
88,3550
88,4673
88,3893
88,3921
88,4674
88,4675
88,4349
88,4676
88,4587
88,4454
88,4458
88,4677
88,4678
88,4679
88,4680
88,4681
88,4599
88,4682
88,4683
88,4684
88,4685
165,4686
165,4687
165,4688
165,4689
165,4690
165,3424
165,4691
165,3522
165,4692
165,4693
165,4694
165,4695
165,4696
165,4437
165,4439
165,4697
165,4698
165,4699
165,4599
165,4543
165,4700
165,4701
165,4702
165,4703
223,4704
223,4705
223,4706
223,4707
223,4708
223,4709
223,4710
223,4711
223,4712
223,4713
223,4714
223,4715
223,4716
223,4717
223,4718
223,4719
223,4720
223,4721
223,4722
223,4723
223,4724
223,4725
223,4726
223,4727
223,4728
223,4729
223,4730
223,4731
228,4732
228,4733
228,4734
228,4735
228,4736
228,2926
228,4737
228,4738
228,4739
228,4740
228,4741
228,4742
228,4743
228,4744
228,4745
228,4746
228,4747
228,4748
228,4749
228,4750
228,4751
228,4752
228,4753
228,4754
228,4755
228,4756
228,4757
228,4758
228,4759
228,4760
228,4761
228,4762
228,4597
228,4763
228,4764
228,4765
228,4766
228,4767
228,4768
237,4769
237,4770
237,4771
237,2260
237,2304
237,2549
237,3060
237,4772
237,3365
237,3434
237,3571
237,3598
237,4773
237,4774
237,4775
237,4582
237,4776
237,4777
237,4778
237,4779
237,4780
237,4781
237,4782
237,4678
237,4783
237,4595
237,4784
237,4785
237,4786
237,4787
237,4599
237,4543
237,4788
237,4789
237,4790
237,4791
237,4792
237,4793
237,4794
237,4795
237,4796
237,4797
237,4798
237,4799
237,4800
237,4801
237,4802
237,4803
237,4804
237,4805
237,4806
241,4807
241,4808
241,4809
241,4810
241,4811
241,4705
241,4812
241,4813
241,4814
241,4815
241,4816
241,4817
241,4818
241,4819
241,4820
241,4821
241,4822
241,4823
241,4824
241,4825
241,4768
241,4826
251,4827
251,4828
251,4829
251,4830
251,4831
251,4832
251,4833
251,4834
251,4835
251,4836
251,4837
251,4838
251,4839
251,4840
251,4841
251,4842
251,4843
251,4844
251,4845
251,4846
251,4847
251,4848
251,4849
251,4850
251,4851
254,4852
254,4853
254,4854
254,4855
254,4856
254,4857
254,4858
254,4859
254,4860
254,4861
254,4862
254,4863
254,4864
254,4865
254,4866
254,4867
254,4868
254,4869
254,4870
254,4599
254,4871
254,4872
254,4873
254,4874
259,4875
259,4876
259,4877
259,4878
259,4879
259,4880
259,4881
259,4882
259,4883
259,4884
259,4885
259,4886
259,4887
259,4888
259,4889
259,4890
259,4891
259,4892
261,4893
261,1220
261,4894
261,1950
261,2260
261,4895
261,2345
261,4896
261,2677
261,3262
261,3306
261,3714
261,3859
261,4897
261,4898
261,4354
261,4439
261,4676
261,4899
261,4900
261,4901
261,4902
261,4903
261,4904
261,4868
261,4679
261,4905
261,4681
261,4906
261,4599
261,4543
261,4907
261,4908
261,4909
261,4601
261,4910
261,4768
261,4603
262,4911
262,4912
262,4913
262,4914
262,4915
262,4916
262,4917
262,4918
262,4919
262,4920
262,4921
262,4922
262,4716
262,4923
262,4720
262,4924
262,4925
262,4926
262,4927
262,4928
262,4677
262,4929
262,4930
262,4931
262,4932
262,4933
262,4934
262,4935
262,4936
262,4937
262,4938
264,4939
264,4940
264,4941
264,4942
264,4943
264,4944
264,4945
264,4946
264,4947
264,4948
264,4949
264,4189
264,4359
264,4681
264,4599
264,4543
265,4950
265,4698
265,4951
265,4599
265,4543
265,4952
267,4953
267,4954
267,4955
267,4956
267,4957
267,4958
267,4959
267,4960
267,4961
267,4962
267,4963
267,4964
267,4965
267,4966
267,4967
267,4968
267,4969
267,4970
267,4971
267,4736
267,4972
267,2926
267,4737
267,4973
267,3087
267,4741
267,4974
267,4745
267,4746
267,4748
267,4749
267,4750
267,4975
267,4976
267,4977
267,4753
267,4978
267,4979
267,4980
267,4981
267,4756
267,4757
267,4982
267,4720
267,4983
267,4758
267,4984
267,4985
267,4986
267,4987
267,4988
267,4759
267,4989
267,4990
267,4762
267,4991
267,4992
267,4993
267,4994
267,4995
267,4764
267,4996
267,4766
267,4997
267,4998
267,4999
267,5000
267,5001
267,5002
267,5003
267,5004
267,5005
267,5006
267,5007
267,5008
267,4768
267,5009
267,5010
267,5011
267,5012
268,5013
268,5014
268,5015
268,5016
268,5017
268,5018
268,5019
268,5020
268,5021
268,5022
268,5023
268,5024
268,5025
268,5026
268,5027
268,5028
268,5029
268,5030
268,5031
268,5032
268,4421
268,5033
268,5034
268,4508
268,4872
268,5035
268,4910
268,5036
268,5037
269,5038
269,5039
269,5040
269,5041
269,5042
269,5043
269,5044
269,5045
269,5046
269,5047
269,5048
269,5049
269,3406
269,5050
269,3654
269,5051
269,5052
269,5053
269,5054
269,5055
269,5056
269,5057
269,4681
269,5058
269,4910
269,5059
269,5060
269,5061
269,5062
269,5063
269,5064
270,5018
270,5065
270,1274
270,1313
270,5066
270,5067
270,5068
270,1562
270,1628
270,5069
270,5070
270,5071
270,5072
270,5073
270,5074
270,5075
270,5076
270,5077
270,5078
270,5079
270,2490
270,5080
270,5081
270,3381
270,5082
270,4716
270,5083
270,5084
270,5085
270,5086
270,4758
270,5087
270,4359
270,5088
270,4458
270,4599
270,5089
270,5090
271,5091
271,5092
271,5093
271,5094
271,5095
271,5096
271,5097
271,5098
271,4705
271,5099
271,5100
271,5069
271,5101
271,5102
271,5103
271,5104
271,5073
271,5105
271,5106
271,5107
271,5108
271,5109
271,5110
271,5111
271,5026
271,5112
271,5113
271,5114
271,5115
271,5116
271,4857
271,5117
271,5118
271,5119
271,5120
271,5121
271,5122
271,5123
271,5124
271,4753
271,4755
271,5125
271,5126
271,5127
271,5128
271,5129
272,5130
272,5131
272,5132
272,1689
272,5133
272,5134
272,5135
272,5136
272,1970
272,5137
272,5138
272,5139
272,5140
272,5141
272,5142
272,5143
272,5144
272,5145
272,5146
272,5147
272,5148
272,5149
272,5150
272,5151
272,4857
272,5152
272,5153
272,5154
272,5155
272,5156
272,5157
272,5158
272,5159
272,4973
272,5160
272,5161
272,5162
272,5163
272,5164
272,4748
272,5165
272,5166
272,5167
272,5168
272,5169
272,5170
272,5171
272,5172
272,5173
272,5174
272,4753
272,5175
272,5176
272,5177
272,5178
272,5179
272,5180
272,5181
272,4587
272,5182
272,5183
272,5184
272,4600
273,5185
273,5186
273,5187
273,5188
273,2218
273,5189
273,2490
273,2535
273,5190
273,5191
273,3362
273,3702
273,3727
273,5192
273,5193
273,5194
273,5195
273,5196
273,5197
273,5198
273,5199
273,5200
273,5201
273,5202
273,5203
273,4910
273,5204
273,5205
274,5206
274,5207
274,1327
274,5208
274,5209
274,5210
274,5211
274,5212
274,5213
274,5214
274,5215
274,5216
274,5217
274,5218
274,5219
274,5220
274,5221
274,5222
274,5223
274,5224
274,5225
274,5226
274,5227
274,5228
274,5229
274,3459
274,5230
274,3661
274,5231
274,5232
274,5233
274,5234
274,5235
274,5236
274,5237
274,5238
274,5239
274,5240
274,5241
274,5242
274,5243
274,5244
274,5245
274,5246
274,5247
274,5248
274,4599
274,5249
274,5250
274,5251
274,5252
274,5253
274,5254
274,5255
274,5256
275,5257
275,5258
275,5259
275,5260
275,5261
275,5262
275,4868
275,5263
275,5264
275,5265
275,5266
275,5267
275,5268
275,5269
275,5270
275,5271
276,5272
276,5273
276,5274
276,5275
276,5276
276,5277
276,1651
276,5278
276,5279
276,5280
276,5281
276,5282
276,5283
276,5284
276,5285
276,5286
276,4920
276,5287
276,5288
276,5289
276,5290
276,5291
276,5292
276,5293
276,5124
276,5294
276,4716
276,5295
276,5087
276,5296
276,5297
276,5298
276,5299
276,5300
276,5301
276,5263
276,5302
276,5303
276,5304
276,4599
276,5305
276,5306
276,5307
276,5308
277,5309
277,5310
277,5311
277,5312
277,5313
277,5314
277,5315
277,5316
277,5317
277,5318
277,5319
277,5320
277,5321
277,5322
277,5323
277,5324
277,5325
277,5326
277,5327
277,5328
277,5329
277,5330
277,5331
277,5332
278,5333
278,935
278,5334
278,4705
278,1651
278,5278
278,5279
278,5335
278,5336
278,5337
278,5280
278,5284
278,5338
278,5285
278,5339
278,5340
278,5341
278,5342
278,5289
278,5343
278,5344
278,5345
278,4720
279,2022
279,2072
279,2105
279,5346
279,5347
279,5348
279,5349
279,4250
279,5350
279,5301
279,5351
279,4593
279,5352
279,5353
279,5267
279,5354
279,5355
279,5356
279,5269
279,5304
279,4599
279,4543
279,5357
279,5063
279,5064
279,5358
280,5359
280,5360
280,5361
280,5362
280,5363
280,5364
280,5365
280,5366
280,5367
280,5368
280,5369
280,5370
280,5371
280,5372
280,5373
280,5374
280,5375
280,5376
280,5377
280,5378
280,5379
280,5380
280,4599
280,5381
280,5382
280,5383
280,5384
281,5385
281,5386
281,5387
281,5388
281,3422
281,5389
281,5390
281,5391
281,3823
281,5392
281,5393
281,5394
281,5395
281,5396
281,5397
281,5398
281,4356
281,5399
281,5400
281,5401
281,5402
281,5403
281,4681
281,5404
281,5405
281,5406
282,5407
282,5408
282,5409
282,5410
282,5411
282,5412
282,5413
282,5414
282,5415
282,5416
282,5417
282,5418
282,5419
282,4273
282,5420
282,4904
282,5421
282,5422
282,5423
282,5424
283,5425
283,5426
283,5427
283,5428
283,5429
283,5430
283,5431
283,5432
283,5433
283,5434
283,5435
283,1653
283,5436
283,5437
283,5438
283,5439
283,5440
283,5441
283,2177
283,5442
283,5443
283,5444
283,5445
283,5446
283,5447
283,5448
283,5449
283,5450
283,5080
283,5451
283,5452
283,5453
283,5454
283,5455
283,5152
283,5117
283,5456
283,4883
283,5457
283,5458
283,5459
283,4716
283,5460
283,5461
283,5462
283,5463
283,5464
283,4599
283,5465
283,5466
283,5467
283,5468
283,5469
283,5470
283,5471
283,5472
283,5473
283,5474
283,5475
284,321
284,5476
284,5477
284,1231
284,1360
284,5478
284,1998
284,2022
284,2090
284,2002
284,2446
284,5479
284,2761
284,2766
284,2837
284,4883
284,5480
284,3424
284,3758
284,5172
284,3859
284,5481
284,3947
284,5482
284,5483
284,4755
284,5484
284,4696
284,4349
284,4359
284,4368
284,4439
284,4676
284,4677
284,5485
284,4761
284,4698
284,4930
284,4681
284,4599
284,4543
284,5486
284,4910
284,5487
284,5488
284,5489
284,5490
285,5491
285,5492
285,4716
285,5493
285,5403
285,4599
286,5494
286,5495
286,5496
286,5497
286,5498
286,5499
286,5500
286,5501
286,5502
286,5503
286,5504
286,5505
286,5506
286,5507
286,5508
286,5464
286,4599
286,5509
286,5510
286,5511
286,5512
287,5513
287,5514
287,5515
287,5516
287,5517
287,5518
287,5519
287,5520
287,5521
287,5522
287,5523
287,5524
287,5525
287,5526
287,5527
287,5528
287,4755
287,5529
287,4758
287,5530
287,4415
287,5531
287,5532
287,5533
287,5534
287,5535
287,5056
287,4930
287,5536
287,5057
287,5537
287,5538
287,5539
287,5540
288,2022
288,2299
288,2310
288,2550
288,5541
288,5542
288,5543
288,3230
288,3305
288,3400
288,5544
288,3710
288,3997
288,4755
288,5545
288,4349
288,4393
288,5546
288,5547
288,5548
288,4439
288,5549
288,5550
288,4868
288,5551
288,4698
288,4681
288,5552
288,4599
288,4543
288,5553
288,5539
288,5554
288,5555
288,5556
288,5063
289,5557
289,5558
289,2027
289,2880
289,5559
289,5560
289,5561
289,5562
289,4716
289,5563
289,4508
289,5564
289,5565
289,5566
289,5567
292,5568
292,1313
292,5569
292,5570
292,5571
292,5572
292,5573
292,5574
292,2442
292,2549
292,5575
292,4857
292,5576
292,5577
292,3237
292,5578
292,5579
292,5580
292,5581
292,5582
292,5583
292,5584
292,5585
292,3934
292,5586
292,5587
292,5588
292,5589
292,5590
292,4582
292,5591
292,5592
292,5593
292,5594
292,4777
292,5595
292,5596
292,5597
292,4779
292,5598
292,5599
292,5600
292,5601
292,5602
292,5603
292,5604
292,4677
292,4678
292,5605
292,5606
292,5607
292,4681
292,4785
292,5608
292,4787
292,5609
292,5610
292,5611
292,5612
292,4805
292,5613
292,5614
292,5615
293,5616
293,5617
293,4706
293,5618
293,5619
293,5071
293,5620
293,5621
293,5622
293,5623
293,5624
293,5625
293,5626
293,5627
293,5628
293,4189
293,5629
293,5630
293,5631
293,5632
293,5633
293,5634
293,5635
293,5636
293,5637
293,5638
293,4768
293,5639
294,5640
294,5641
294,5642
294,5643
294,5644
294,5645
294,5646
294,5647
294,5648
294,5649
294,5650
294,5651
294,5652
294,5653
294,5654
294,5655
294,5656
294,5657
294,5658
294,5659
294,5660
294,5661
294,5662
294,5663
294,5664
294,5665
294,5666
294,5667
294,5668
294,5669
294,5670
294,5671
294,5672
294,5673
294,5674
294,5675
294,5676
294,5677
294,5678
294,5679
294,5680
294,5681
294,5682
294,5683
294,5684
294,5685
294,5686
294,5687
294,5688
294,5689
294,5690
294,5691
294,5692
294,5693
294,5694
294,5695
294,5696
294,5697
294,5698
294,5699
294,5464
294,5700
294,5701
294,5702
294,5703
294,5704
294,5705
294,5706
295,5707
295,5708
295,5709
295,5710
295,5711
295,5277
295,5712
295,5713
295,5714
295,5715
295,5716
295,4189
295,5717
295,5718
295,5719
295,5720
295,5721
295,4768
296,5722
296,1220
296,5723
296,5724
296,5725
296,5726
296,5727
296,5728
296,5729
296,5730
296,5731
296,5732
296,5733
296,2260
296,5734
296,5735
296,5289
296,5736
296,5737
296,5738
296,5739
296,5740
296,3306
296,5741
296,5625
296,5742
296,5743
296,5744
296,5745
296,5746
296,5747
296,5627
296,5483
296,5748
296,4755
296,5749
296,4720
296,5750
296,5751
296,4761
296,5752
296,5753
296,5754
296,4599
296,5539
296,5755
296,4805
296,4768
297,5756
297,5757
297,5758
297,5759
297,5760
297,5761
297,5762
297,5763
297,2515
297,5764
297,5765
297,5766
297,5767
297,5768
297,5769
297,5770
297,3851
297,5771
297,4755
297,4118
297,5772
297,5773
297,5774
297,5775
297,4354
297,5776
297,5777
297,4439
297,5778
297,5779
297,5780
297,4761
297,4698
297,4930
297,5781
297,4906
297,4599
297,4543
297,5782
297,5783
297,5784
297,5785
297,5786
298,5787
298,5788
298,5789
298,5790
298,5791
298,5792
298,5793
298,5794
298,5795
298,5796
298,5797
298,5798
298,5799
298,5800
298,5801
298,5802
298,5803
298,5804
298,5805
299,5806
299,5807
299,5808
299,5809
299,5810
299,5811
299,5812
299,4857
299,5813
299,5814
299,5815
299,4189
299,5816
299,5817
299,5818
299,5819
299,5820
299,5821
299,5822
299,5823
299,5824
299,5825
299,5826
299,5827
299,5828
299,5829
299,5830
299,5831
300,5832
300,5833
300,5834
300,5835
300,5836
300,5837
300,5838
300,5839
300,5840
300,5841
300,5842
300,5843
300,5844
300,5845
300,5846
300,5847
300,5848
300,5849
300,5850
300,5851
300,5852
300,5853
300,5854
300,5855
300,5856
300,5734
300,5857
300,5858
300,5859
300,5860
300,5861
300,5862
300,5863
300,5864
300,5865
300,5866
300,5738
300,5867
300,5868
300,5869
300,5870
300,3424
300,5871
300,5742
300,4884
300,5872
300,4753
300,5483
300,4775
300,5873
300,5874
300,5875
300,5876
300,5877
300,5878
300,5879
300,5880
300,5881
300,5696
300,5882
300,5883
300,5884
300,4677
300,5751
300,4678
300,5885
300,5886
300,5887
300,4681
300,5058
300,5888
300,5889
300,5890
300,5891
300,5892
300,5893
300,5894
300,5895
300,5896
300,5897
300,4805
300,5898
300,5899
301,5900
301,5901
301,5902
301,5903
301,5904
301,5291
301,5905
301,5906
301,5907
301,4099
301,5908
301,4189
301,4720
301,4359
301,5909
301,5301
301,5910
301,5485
301,4761
301,5911
301,5304
301,4599
301,4543
301,5912
301,5913
302,5914
302,5915
302,5916
302,5917
302,5918
302,5919
302,5920
302,5921
302,5922
302,5923
302,5924
302,5925
302,5926
302,5927
302,5928
302,5929
302,5930
302,5865
302,5931
302,5932
302,5933
302,5934
302,5483
302,4755
302,5935
302,5936
302,5937
302,5938
302,5939
302,5882
302,4761
302,5940
302,5941
303,452
303,5942
303,5943
303,900
303,5944
303,5945
303,5946
303,5947
303,5948
303,5949
303,5950
303,5951
303,5478
303,5952
303,5953
303,5954
303,5955
303,5956
303,5957
303,2553
303,5958
303,5959
303,5960
303,5961
303,5962
303,3306
303,5963
303,3400
303,5964
303,3947
303,5965
303,5966
303,4189
303,5967
303,5968
303,4359
303,4439
303,5969
303,5598
303,5970
303,4868
303,5971
303,5972
303,5973
303,4681
303,5269
303,4599
303,4543
303,5553
303,4910
303,5974
303,5975
303,5064
304,1721
304,5976
304,5977
304,2957
304,3306
304,5978
304,3424
304,5979
304,3475
304,3550
304,3864
304,5980
304,5483
304,4755
304,4368
304,5981
304,5982
304,4681
304,4599
304,5553
304,5539
304,5381
304,5983
304,4768
304,4729
304,5063
304,5064
305,628
305,661
305,952
305,5984
305,1194
305,1279
305,1482
305,1811
305,2070
305,2299
305,2505
305,2626
305,4857
305,2742
305,2761
305,3045
305,3085
305,5985
305,3306
305,3362
305,3571
305,5986
305,5483
305,4755
305,4349
305,4410
305,4439
305,4676
305,4446
305,5970
305,4868
305,5987
305,4698
305,4681
305,4599
305,4543
305,5553
305,5988
305,5785
305,5489
305,5989
305,5990
305,4805
305,5991
305,5064
306,441
306,5992
306,5836
306,5993
306,4912
306,5994
306,5995
306,5996
306,5277
306,5997
306,4705
306,5998
306,5999
306,2546
306,6000
306,6001
306,5976
306,5979
306,6002
306,4042
306,4220
306,5086
306,4368
306,4377
306,4821
306,6003
306,4539
306,6004
306,4599
306,6005
306,6006
306,6007
306,6008
306,5612
306,6009
306,6010
306,5898
306,6011
308,6012
308,5836
308,6013
308,6014
308,4912
308,6015
308,6016
308,6017
308,6018
308,6019
308,6020
308,6021
308,4705
308,6022
308,6023
308,6024
308,6025
308,6026
308,6027
308,6028
308,6029
308,6030
308,6031
308,6032
308,6033
308,5118
308,6034
308,6035
308,6036
308,6037
308,6038
308,6039
308,4359
308,4368
308,6040
308,6041
308,6042
308,4599
308,6043
308,6044
308,5612
308,6045
312,6046
312,6047
312,6048
312,6049
312,6050
312,6051
312,6052
312,6053
312,6054
312,6055
312,2893
312,6056
312,6057
312,6058
312,3424
312,6059
312,6060
312,6061
312,6062
312,6063
312,6064
312,6065
312,5748
312,6066
312,6067
312,5394
312,6068
312,6069
312,4356
312,6070
312,6071
312,5399
312,6072
312,6073
312,6074
312,6075
312,6076
312,6077
312,5403
312,6078
312,6079
312,6080
312,6081
312,6082
312,6083
312,5357
312,5064
316,6084
316,6085
316,6086
316,6087
316,2594
316,6088
316,6089
316,6090
316,6091
