source_year,citation_entropy
2017,5.824451774987061
2018,6.596720485674829
2019,7.33584264070731
2020,8.14452614330356
2021,8.415197401173074
2022,8.731607518812387
2023,9.039288153066888
2024,9.312814449469853
2025,9.462983274542847
2026,8.157376017931167
