paper_id,year,referenceCount,citationCount,source_paper_id_x,total_refs,internal_refs,external_refs,external_ref_ratio,source_paper_id_y,observed_out_refs,source_year,backward_pool_size,ref_rate_per_available_paper,target_paper_id,observed_in_cites,mean_in_cites,median_in_cites,std_in_cites,citation_norm_year_mean,citation_z_year,paper_age,cites_per_year_alive,mean_by_age,median_by_age,std_by_age,citation_norm_age_mean,citation_z_age,period,internal_ref_ratio,internal_coverage_of_citations,internal_coverage_of_references
13451,2020,61.0,36.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13451.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.027777777777777776,0.0
13452,2020,29.0,40.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13452.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.025,0.0
13453,2020,73.0,228.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13453.0,2.0,2.8623578695391982,1.0,12.097776738104558,0.6987246498013798,-0.07128234288065641,7,0.2857142857142857,2.8623578695391982,1.0,12.097776738104558,0.6987246498013798,-0.07128234288065641,pre_2023,,0.008771929824561403,0.0
13454,2020,117.0,549.0,,0.0,0.0,0.0,0.0,,0.0,2020,27205,0.0,13454.0,1.0,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,7,0.14285714285714285,2.8623578695391982,1.0,12.097776738104558,0.3493623249006899,-0.1539421589483711,pre_2023,,0.0018214936247723133,0.0
13455,2018,40.0,181.0,,0.0,0.0,0.0,0.0,,0.0,2018,15416,0.0,13455.0,3.0,3.291517323775388,1.0,11.821459584982616,0.9114337568058076,-0.024660011031608732,9,0.3333333333333333,3.291517323775388,1.0,11.821459584982616,0.9114337568058076,-0.024660011031608732,pre_2023,,0.016574585635359115,0.0
13456,2013,27.0,1277.0,,0.0,0.0,0.0,0.0,,0.0,2013,6319,0.0,13456.0,1.0,3.141263940520446,1.0,13.752234012550677,0.3183431952662722,-0.15570298895192358,14,0.07142857142857142,3.141263940520446,1.0,13.752234012550677,0.3183431952662722,-0.15570298895192358,pre_2023,,0.0007830853563038371,0.0
13457,2004,0.0,503.0,,0.0,0.0,0.0,0.0,,0.0,2004,2556,0.0,13457.0,1.0,2.3256704980842913,1.0,7.5052079373804546,0.4299835255354201,-0.1766334136435653,23,0.043478260869565216,2.3256704980842913,1.0,7.5052079373804546,0.4299835255354201,-0.1766334136435653,pre_2023,,0.0019880715705765406,
13458,2023,14.0,34.0,,0.0,0.0,0.0,0.0,,0.0,2023,52796,0.0,13458.0,1.0,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,4,0.25,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,post_2023,,0.029411764705882353,0.0
13459,2023,46.0,19.0,,0.0,0.0,0.0,0.0,,0.0,2023,52796,0.0,13459.0,1.0,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,4,0.25,1.8033800949961338,1.0,4.07860265544195,0.5545142717138307,-0.19697434706570627,post_2023,,0.05263157894736842,0.0
13460,2022,48.0,49.0,,0.0,0.0,0.0,0.0,,0.0,2022,44393,0.0,13460.0,1.0,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,5,0.2,2.0190408187552067,1.0,5.029536107100758,0.49528468702110096,-0.20261129397530578,pre_2023,,0.02040816326530612,0.0
