node,paper_id,total_citations,valid,known_but_unseen,hallucinated,hallucinated_refs,valid_pct,hallucinated_pct,extraction_ok,citation_ids_ok
3,N3P4,22,22,0,0,,100.0,0.0,True,True
3,N3P24,24,24,0,0,,100.0,0.0,True,True
3,N3P10,23,23,0,0,,100.0,0.0,True,True
3,N3P27,26,26,0,0,,100.0,0.0,True,True
3,N3P14,21,21,0,0,,100.0,0.0,True,True
3,N3P7,18,18,0,0,,100.0,0.0,True,True
3,N3P0,22,22,0,0,,100.0,0.0,True,True
3,N3P28,24,24,0,0,,100.0,0.0,True,True
3,N3P12,21,21,0,0,,100.0,0.0,True,True
3,N3P25,24,24,0,0,,100.0,0.0,True,True
3,N3P3,24,24,0,0,,100.0,0.0,True,True
3,N3P22,27,26,0,1,"Kay, 2025",96.3,3.7,True,True
3,N3P2,23,23,0,0,,100.0,0.0,True,True
3,N3P29,26,26,0,0,,100.0,0.0,True,True
3,N3P11,22,22,0,0,,100.0,0.0,True,True
3,N3P18,26,26,0,0,,100.0,0.0,True,True
3,N3P9,23,23,0,0,,100.0,0.0,True,True
3,N3P16,25,25,0,0,,100.0,0.0,True,True
3,N3P13,21,21,0,0,,100.0,0.0,True,True
3,N3P1,25,25,0,0,,100.0,0.0,True,True
3,N3P8,27,27,0,0,,100.0,0.0,True,True
3,N3P19,26,26,0,0,,100.0,0.0,True,True
3,N3P20,26,26,0,0,,100.0,0.0,True,True
3,N3P17,2,2,0,0,,100.0,0.0,True,True
4,N4P12,20,20,0,0,,100.0,0.0,True,True
4,N4P22,23,23,0,0,,100.0,0.0,True,True
4,N4P2,0,0,0,0,,0,0,True,True
4,N4P26,26,26,0,0,,100.0,0.0,True,True
4,N4P20,22,22,0,0,,100.0,0.0,True,True
4,N4P15,27,27,0,0,,100.0,0.0,True,True
4,N4P24,25,25,0,0,,100.0,0.0,True,True
4,N4P7,24,24,0,0,,100.0,0.0,True,True
4,N4P11,21,21,0,0,,100.0,0.0,True,True
4,N4P1,26,26,0,0,,100.0,0.0,True,True
4,N4P3,22,22,0,0,,100.0,0.0,True,True
4,N4P16,25,25,0,0,,100.0,0.0,True,True
4,N4P9,26,26,0,0,,100.0,0.0,True,True
4,N4P14,25,25,0,0,,100.0,0.0,True,True
4,N4P25,21,21,0,0,,100.0,0.0,True,True
4,N4P27,22,22,0,0,,100.0,0.0,True,True
4,N4P4,23,23,0,0,,100.0,0.0,True,True
4,N4P21,28,28,0,0,,100.0,0.0,True,True
4,N4P29,18,18,0,0,,100.0,0.0,True,True
